"ID";"Leeftijd";"Geboorteland";"RegioS";"Perioden";"MannenEnVrouwen_1"
"112739";"10000";"G008531";"GM0363";"2007JJ00";"    1709"
"112740";"10000";"G008531";"GM0363";"2008JJ00";"    1664"
"112741";"10000";"G008531";"GM0363";"2009JJ00";"    1699"
"112742";"10000";"G008531";"GM0363";"2010JJ00";"    1668"
"112743";"10000";"G008531";"GM0363";"2011JJ00";"    1739"
"112744";"10000";"G008531";"GM0363";"2012JJ00";"    1779"
"112745";"10000";"G008531";"GM0363";"2013JJ00";"    1808"
"112746";"10000";"G008531";"GM0363";"2014JJ00";"    1832"
"112747";"10000";"G008531";"GM0363";"2015JJ00";"    1949"
"112748";"10000";"G008531";"GM0363";"2016JJ00";"    2140"
"112749";"10000";"G008531";"GM0363";"2017JJ00";"    2380"
"112750";"10000";"G008531";"GM0363";"2018JJ00";"    2556"
"112751";"10000";"G008531";"GM0363";"2019JJ00";"    2804"
"131184";"10000";"G007935";"GM0363";"1996JJ00";"   27597"
"131185";"10000";"G007935";"GM0363";"1997JJ00";"   25598"
"131186";"10000";"G007935";"GM0363";"1998JJ00";"   26187"
"131187";"10000";"G007935";"GM0363";"1999JJ00";"   27014"
"131188";"10000";"G007935";"GM0363";"2000JJ00";"   27584"
"131189";"10000";"G007935";"GM0363";"2001JJ00";"   28516"
"131190";"10000";"G007935";"GM0363";"2002JJ00";"   29021"
"131191";"10000";"G007935";"GM0363";"2003JJ00";"   29289"
"131192";"10000";"G007935";"GM0363";"2004JJ00";"   29802"
"131193";"10000";"G007935";"GM0363";"2005JJ00";"   33081"
"131194";"10000";"G007935";"GM0363";"2006JJ00";"   33400"
"131195";"10000";"G007935";"GM0363";"2007JJ00";"   34221"
"131196";"10000";"G007935";"GM0363";"2008JJ00";"   36424"
"131197";"10000";"G007935";"GM0363";"2009JJ00";"   39162"
"131198";"10000";"G007935";"GM0363";"2010JJ00";"   41492"
"131199";"10000";"G007935";"GM0363";"2011JJ00";"   44160"
"131200";"10000";"G007935";"GM0363";"2012JJ00";"   46475"
"131201";"10000";"G007935";"GM0363";"2013JJ00";"   47948"
"131202";"10000";"G007935";"GM0363";"2014JJ00";"   49975"
"131203";"10000";"G007935";"GM0363";"2015JJ00";"   53530"
"131204";"10000";"G007935";"GM0363";"2016JJ00";"   57531"
"131205";"10000";"G007935";"GM0363";"2017JJ00";"   62251"
"131206";"10000";"G007935";"GM0363";"2018JJ00";"   67223"
"131207";"10000";"G007935";"GM0363";"2019JJ00";"   72120"
"149640";"10000";"G008533";"GM0363";"1996JJ00";"     344"
"149641";"10000";"G008533";"GM0363";"1997JJ00";"     475"
"149642";"10000";"G008533";"GM0363";"1998JJ00";"     692"
"149643";"10000";"G008533";"GM0363";"1999JJ00";"     963"
"149644";"10000";"G008533";"GM0363";"2000JJ00";"    1260"
"149645";"10000";"G008533";"GM0363";"2001JJ00";"    1606"
"149646";"10000";"G008533";"GM0363";"2002JJ00";"    1854"
"149647";"10000";"G008533";"GM0363";"2003JJ00";"    2000"
"149648";"10000";"G008533";"GM0363";"2004JJ00";"    2101"
"149649";"10000";"G008533";"GM0363";"2005JJ00";"    2150"
"149650";"10000";"G008533";"GM0363";"2006JJ00";"    2015"
"149651";"10000";"G008533";"GM0363";"2007JJ00";"    1971"
"149652";"10000";"G008533";"GM0363";"2008JJ00";"    1968"
"149653";"10000";"G008533";"GM0363";"2009JJ00";"    1964"
"149654";"10000";"G008533";"GM0363";"2010JJ00";"    1987"
"149655";"10000";"G008533";"GM0363";"2011JJ00";"    2019"
"149656";"10000";"G008533";"GM0363";"2012JJ00";"    2024"
"149657";"10000";"G008533";"GM0363";"2013JJ00";"    2003"
"149658";"10000";"G008533";"GM0363";"2014JJ00";"    1988"
"149659";"10000";"G008533";"GM0363";"2015JJ00";"    2001"
"149660";"10000";"G008533";"GM0363";"2016JJ00";"    2084"
"149661";"10000";"G008533";"GM0363";"2017JJ00";"    2105"
"149662";"10000";"G008533";"GM0363";"2018JJ00";"    2087"
"149663";"10000";"G008533";"GM0363";"2019JJ00";"    2120"
"168096";"10000";"G008545";"GM0363";"1996JJ00";"     799"
"168097";"10000";"G008545";"GM0363";"1997JJ00";"     757"
"168098";"10000";"G008545";"GM0363";"1998JJ00";"     788"
"168099";"10000";"G008545";"GM0363";"1999JJ00";"     852"
"168100";"10000";"G008545";"GM0363";"2000JJ00";"     921"
"168101";"10000";"G008545";"GM0363";"2001JJ00";"    1031"
"168102";"10000";"G008545";"GM0363";"2002JJ00";"    1124"
"168103";"10000";"G008545";"GM0363";"2003JJ00";"    1209"
"168104";"10000";"G008545";"GM0363";"2004JJ00";"    1267"
"168105";"10000";"G008545";"GM0363";"2005JJ00";"    1274"
"168106";"10000";"G008545";"GM0363";"2006JJ00";"    1260"
"168107";"10000";"G008545";"GM0363";"2007JJ00";"    1240"
"168108";"10000";"G008545";"GM0363";"2008JJ00";"    1217"
"168109";"10000";"G008545";"GM0363";"2009JJ00";"    1236"
"168110";"10000";"G008545";"GM0363";"2010JJ00";"    1199"
"168111";"10000";"G008545";"GM0363";"2011JJ00";"    1249"
"168112";"10000";"G008545";"GM0363";"2012JJ00";"    1260"
"168113";"10000";"G008545";"GM0363";"2013JJ00";"    1282"
"168114";"10000";"G008545";"GM0363";"2014JJ00";"    1312"
"168115";"10000";"G008545";"GM0363";"2015JJ00";"    1394"
"168116";"10000";"G008545";"GM0363";"2016JJ00";"    1509"
"168117";"10000";"G008545";"GM0363";"2017JJ00";"    1677"
"168118";"10000";"G008545";"GM0363";"2018JJ00";"    1797"
"168119";"10000";"G008545";"GM0363";"2019JJ00";"    1973"
"186552";"10000";"G008552";"GM0363";"1996JJ00";"    2018"
"186553";"10000";"G008552";"GM0363";"1997JJ00";"    1971"
"186554";"10000";"G008552";"GM0363";"1998JJ00";"    2001"
"186555";"10000";"G008552";"GM0363";"1999JJ00";"    2026"
"186556";"10000";"G008552";"GM0363";"2000JJ00";"    2073"
"186557";"10000";"G008552";"GM0363";"2001JJ00";"    2102"
"186558";"10000";"G008552";"GM0363";"2002JJ00";"    2135"
"186559";"10000";"G008552";"GM0363";"2003JJ00";"    2132"
"186560";"10000";"G008552";"GM0363";"2004JJ00";"    2213"
"186561";"10000";"G008552";"GM0363";"2005JJ00";"    2261"
"186562";"10000";"G008552";"GM0363";"2006JJ00";"    2238"
"186563";"10000";"G008552";"GM0363";"2007JJ00";"    2253"
"186564";"10000";"G008552";"GM0363";"2008JJ00";"    2340"
"186565";"10000";"G008552";"GM0363";"2009JJ00";"    2381"
"186566";"10000";"G008552";"GM0363";"2010JJ00";"    2429"
"186567";"10000";"G008552";"GM0363";"2011JJ00";"    2556"
"186568";"10000";"G008552";"GM0363";"2012JJ00";"    2606"
"186569";"10000";"G008552";"GM0363";"2013JJ00";"    2630"
"186570";"10000";"G008552";"GM0363";"2014JJ00";"    2687"
"186571";"10000";"G008552";"GM0363";"2015JJ00";"    2769"
"186572";"10000";"G008552";"GM0363";"2016JJ00";"    2937"
"186573";"10000";"G008552";"GM0363";"2017JJ00";"    3086"
"186574";"10000";"G008552";"GM0363";"2018JJ00";"    3254"
"186575";"10000";"G008552";"GM0363";"2019JJ00";"    3434"
"205008";"10000";"G008562";"GM0363";"1996JJ00";"     868"
"205009";"10000";"G008562";"GM0363";"1997JJ00";"     882"
"205010";"10000";"G008562";"GM0363";"1998JJ00";"     937"
"205011";"10000";"G008562";"GM0363";"1999JJ00";"    1023"
"205012";"10000";"G008562";"GM0363";"2000JJ00";"    1060"
"205013";"10000";"G008562";"GM0363";"2001JJ00";"    1120"
"205014";"10000";"G008562";"GM0363";"2002JJ00";"    1217"
"205015";"10000";"G008562";"GM0363";"2003JJ00";"    1263"
"205016";"10000";"G008562";"GM0363";"2004JJ00";"    1327"
"205017";"10000";"G008562";"GM0363";"2005JJ00";"    1383"
"205018";"10000";"G008562";"GM0363";"2006JJ00";"    1465"
"205019";"10000";"G008562";"GM0363";"2007JJ00";"    1563"
"205020";"10000";"G008562";"GM0363";"2008JJ00";"    1689"
"205021";"10000";"G008562";"GM0363";"2009JJ00";"    1836"
"205022";"10000";"G008562";"GM0363";"2010JJ00";"    1945"
"205023";"10000";"G008562";"GM0363";"2011JJ00";"    2060"
"205024";"10000";"G008562";"GM0363";"2012JJ00";"    2197"
"205025";"10000";"G008562";"GM0363";"2013JJ00";"    2266"
"205026";"10000";"G008562";"GM0363";"2014JJ00";"    2333"
"205027";"10000";"G008562";"GM0363";"2015JJ00";"    2445"
"205028";"10000";"G008562";"GM0363";"2016JJ00";"    2784"
"205029";"10000";"G008562";"GM0363";"2017JJ00";"    3108"
"205030";"10000";"G008562";"GM0363";"2018JJ00";"    3672"
"205031";"10000";"G008562";"GM0363";"2019JJ00";"    4307"
"223464";"10000";"G008802";"GM0363";"1996JJ00";"     720"
"223465";"10000";"G008802";"GM0363";"1997JJ00";"     703"
"223466";"10000";"G008802";"GM0363";"1998JJ00";"     771"
"223467";"10000";"G008802";"GM0363";"1999JJ00";"     797"
"223468";"10000";"G008802";"GM0363";"2000JJ00";"     830"
"223469";"10000";"G008802";"GM0363";"2001JJ00";"     863"
"223470";"10000";"G008802";"GM0363";"2002JJ00";"     905"
"223471";"10000";"G008802";"GM0363";"2003JJ00";"     916"
"223472";"10000";"G008802";"GM0363";"2004JJ00";"     944"
"223473";"10000";"G008802";"GM0363";"2005JJ00";"     945"
"223474";"10000";"G008802";"GM0363";"2006JJ00";"     984"
"223475";"10000";"G008802";"GM0363";"2007JJ00";"     971"
"223476";"10000";"G008802";"GM0363";"2008JJ00";"    1010"
"223477";"10000";"G008802";"GM0363";"2009JJ00";"    1096"
"223478";"10000";"G008802";"GM0363";"2010JJ00";"    1105"
"223479";"10000";"G008802";"GM0363";"2011JJ00";"    1161"
"223480";"10000";"G008802";"GM0363";"2012JJ00";"    1212"
"223481";"10000";"G008802";"GM0363";"2013JJ00";"    1243"
"223482";"10000";"G008802";"GM0363";"2014JJ00";"    1231"
"223483";"10000";"G008802";"GM0363";"2015JJ00";"    1287"
"223484";"10000";"G008802";"GM0363";"2016JJ00";"    1393"
"223485";"10000";"G008802";"GM0363";"2017JJ00";"    1493"
"223486";"10000";"G008802";"GM0363";"2018JJ00";"    1555"
"223487";"10000";"G008802";"GM0363";"2019JJ00";"    1711"
"241920";"10000";"G008575";"GM0363";"1996JJ00";"    1503"
"241921";"10000";"G008575";"GM0363";"1997JJ00";"    1468"
"241922";"10000";"G008575";"GM0363";"1998JJ00";"    1556"
"241923";"10000";"G008575";"GM0363";"1999JJ00";"    1632"
"241924";"10000";"G008575";"GM0363";"2000JJ00";"    1691"
"241925";"10000";"G008575";"GM0363";"2001JJ00";"    1784"
"241926";"10000";"G008575";"GM0363";"2002JJ00";"    1928"
"241927";"10000";"G008575";"GM0363";"2003JJ00";"    2116"
"241928";"10000";"G008575";"GM0363";"2004JJ00";"    2295"
"241929";"10000";"G008575";"GM0363";"2005JJ00";"    2521"
"241930";"10000";"G008575";"GM0363";"2006JJ00";"    2530"
"241931";"10000";"G008575";"GM0363";"2007JJ00";"    2496"
"241932";"10000";"G008575";"GM0363";"2008JJ00";"    2578"
"241933";"10000";"G008575";"GM0363";"2009JJ00";"    2854"
"241934";"10000";"G008575";"GM0363";"2010JJ00";"    2967"
"241935";"10000";"G008575";"GM0363";"2011JJ00";"    3194"
"241936";"10000";"G008575";"GM0363";"2012JJ00";"    3459"
"241937";"10000";"G008575";"GM0363";"2013JJ00";"    3609"
"241938";"10000";"G008575";"GM0363";"2014JJ00";"    3720"
"241939";"10000";"G008575";"GM0363";"2015JJ00";"    3983"
"241940";"10000";"G008575";"GM0363";"2016JJ00";"    4294"
"241941";"10000";"G008575";"GM0363";"2017JJ00";"    4630"
"241942";"10000";"G008575";"GM0363";"2018JJ00";"    4875"
"241943";"10000";"G008575";"GM0363";"2019JJ00";"    5238"
"260376";"10000";"G008579";"GM0363";"1996JJ00";"     590"
"260377";"10000";"G008579";"GM0363";"1997JJ00";"     647"
"260378";"10000";"G008579";"GM0363";"1998JJ00";"     692"
"260379";"10000";"G008579";"GM0363";"1999JJ00";"     725"
"260380";"10000";"G008579";"GM0363";"2000JJ00";"     794"
"260381";"10000";"G008579";"GM0363";"2001JJ00";"     860"
"260382";"10000";"G008579";"GM0363";"2002JJ00";"     921"
"260383";"10000";"G008579";"GM0363";"2003JJ00";"     991"
"260384";"10000";"G008579";"GM0363";"2004JJ00";"    1065"
"260385";"10000";"G008579";"GM0363";"2005JJ00";"    1149"
"260386";"10000";"G008579";"GM0363";"2006JJ00";"    1175"
"260387";"10000";"G008579";"GM0363";"2007JJ00";"    1193"
"260388";"10000";"G008579";"GM0363";"2008JJ00";"    1205"
"260389";"10000";"G008579";"GM0363";"2009JJ00";"    1257"
"260390";"10000";"G008579";"GM0363";"2010JJ00";"    1328"
"260391";"10000";"G008579";"GM0363";"2011JJ00";"    1415"
"260392";"10000";"G008579";"GM0363";"2012JJ00";"    1502"
"260393";"10000";"G008579";"GM0363";"2013JJ00";"    1537"
"260394";"10000";"G008579";"GM0363";"2014JJ00";"    1579"
"260395";"10000";"G008579";"GM0363";"2015JJ00";"    1660"
"260396";"10000";"G008579";"GM0363";"2016JJ00";"    1739"
