pid,R-Precision,nDCG,rating,model
585092,0.0,0.25270418283671664,binary,ALS
288322,0.0,0.2980086208859791,binary,ALS
211666,0.4482758620689655,0.7357425476980991,binary,ALS
962879,0.0,0.0,binary,ALS
332343,0.07207207207207207,0.5634704745552593,binary,ALS
547978,0.0,0.17237750279171812,binary,ALS
898360,0.0,0.2724135082783908,binary,ALS
230620,0.04790419161676647,0.373680996174844,binary,ALS
212611,0.125,0.5063915414756314,binary,ALS
523317,0.10344827586206896,0.3858843088064528,binary,ALS
407088,0.07142857142857142,0.37672468038363505,binary,ALS
493438,0.039473684210526314,0.4621518431847902,binary,ALS
964077,0.2804878048780488,0.7466185374860124,binary,ALS
800011,0.0,0.2672399725982931,binary,ALS
553153,0.0,0.30192551713326204,binary,ALS
182970,0.03278688524590164,0.35165314763266386,binary,ALS
904843,0.0,0.1839721396467201,binary,ALS
361254,0.0,0.0,binary,ALS
587993,0.0,0.0,binary,ALS
652193,0.0,0.16727281713458006,binary,ALS
915019,0.1393939393939394,0.6178131778209159,binary,ALS
596064,0.0,0.19218035383645143,binary,ALS
466896,0.2413793103448276,0.6860166493943671,binary,ALS
431050,0.09090909090909091,0.4085919416883674,binary,ALS
289614,0.0,0.1722588286664739,binary,ALS
821472,0.0,0.0,binary,ALS
622427,0.043478260869565216,0.36046077515013364,binary,ALS
430454,0.24691358024691357,0.7031978621659537,binary,ALS
173299,0.0,0.0,binary,ALS
293762,0.0,0.0,binary,ALS
568573,0.0,0.23335176891236015,binary,ALS
787739,0.17857142857142858,0.4809627532072075,binary,ALS
670533,0.0,0.32365809403672935,binary,ALS
366372,0.2,0.7041254585184819,binary,ALS
191695,0.0,0.0,binary,ALS
686287,0.0,0.26992097674071336,binary,ALS
914023,0.5,0.6780357784731879,binary,ALS
802231,0.0,0.1563077288174173,binary,ALS
590282,0.0,0.0,binary,ALS
478312,0.0,0.14423374083626792,binary,ALS
293202,0.0,0.1254462191960791,binary,ALS
397126,0.08108108108108109,0.455592119803152,binary,ALS
868202,0.02666666666666667,0.3730415149091986,binary,ALS
280769,0.08695652173913043,0.5572940620259859,binary,ALS
532534,0.043859649122807015,0.4182138794723905,binary,ALS
134029,0.0,0.3000146332434683,binary,ALS
790299,0.0,0.25671271897357445,binary,ALS
56853,0.125,0.4470690862593867,binary,ALS
864687,0.0,0.0,binary,ALS
912000,0.2545454545454545,0.6033429032002078,binary,ALS
479083,0.19642857142857142,0.6469439638154411,binary,ALS
126606,0.0,0.19823758128444988,binary,ALS
808587,0.10526315789473684,0.44183348607414763,binary,ALS
235241,0.05333333333333334,0.4555737620809926,binary,ALS
