"Geslacht";"Persoonskenmerken";"Perioden";"Beroepsbevolking (x 1 000)";"Werkzame beroepsbevolking/Werkzame beroepsbevolking (x 1 000)";"Werkloze beroepsbevolking (x 1 000)"
"Vrouwen";"Totaal";"2004";"    3102";"    2873";"     229"
"Vrouwen";"Totaal";"2005";"    3149";"    2904";"     245"
"Vrouwen";"Totaal";"2006";"    3216";"    2997";"     219"
"Vrouwen";"Totaal";"2007";"    3314";"    3124";"     190"
"Vrouwen";"Totaal";"2008";"    3393";"    3235";"     158"
"Vrouwen";"Totaal";"2009";"    3449";"    3269";"     180"
"Vrouwen";"Totaal";"2010";"    3480";"    3272";"     208"
"Vrouwen";"Totaal";"2011";"    3492";"    3297";"     195"
"Vrouwen";"Totaal";"2012";"    3551";"    3318";"     233"
"Vrouwen";"Totaal";"2013";"    3585";"    3284";"     301"
